X,Y,Vendor,Neighborhood,Address,Lat,Long,Planned_Install_Date,Original_Pole_Type,Attachment_Or_Replacement,New_Pole_Type,Pole_Identifying_Number,Intended_Commercial_Use,Spectrum,City_Reference,Requester_Email_Address,ObjectId
-7911566.71342397,5217898.60742814,Crown Castle,Charlestown,384 Rutherford Ave,42.378845,-71.070813,2019/07/05 00:00:00+00,Standard Concrete - Cobra,Replacement,Standard Concrete Light Pole (Crown Castle Exhibit X-1),ODAS_N123,Neutral Host,Licensed,Cro899,amanda.cornwall@crowncastle.com,11
-7921832.04026747,5213424.3068992,Verizon Wireless,Allston / Brighton,"Fairbanks St, Brighton",42.349147,-71.163028,2018/08/31 00:00:00+00,Wood Utility Pole (Not City Owned but In Right of Way),Attachment,Wood Utility Pole Antenna Top Mount (Verizon Exhibit X-4),9999999 (No Pole Number),Single Carrier,Licensed,Ver7,MGiaimo@rc.com,12
-7911097.50177027,5217652.22330931,Crown Castle,Charlestown,271 Main Street,42.37721,-71.066598,2019/08/21 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18),ODAS_N118,Neutral Host,Licensed,Cro900,Amanda.Cornwall@crowncastle.com,13
-7911555.80411387,5218214.47070369,Crown Castle,Charlestown,Main St (across from #413),42.380941,-71.070715,2019/08/21 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18),ODAS_N125,Neutral Host,Licensed,Cro901,amanda.cornwall@crowncastle.com,14
-7921466.80101818,5213941.56520208,Verizon Wireless,Allston / Brighton,"Arlington St, Brighton",42.352581,-71.159747,2018/06/30 00:00:00+00,Wood Utility Pole (Not City Owned but In Right of Way),Attachment,Wood Utility Pole Antenna Top Mount (Verizon Exhibit X-4),21,Single Carrier,Licensed,Ver8,MGiaimo@rc.com,15
-7910284.98080697,5206646.07465956,Verizon Wireless,Dorchester,1362-1378 Dorchester Ave,42.30413,-71.059299,2018/06/30 00:00:00+00,Aeriata Light Pole,Replacement,Aeriata Light Pole ( Verizon Exhibit X-2),432428,Single Carrier,Licensed,Ver10,vzwexhibitx1@gmail.com,16
-7914622.9900437,5209143.32438143,Crown Castle,Jamaica Plain,1744 Columbus Ave,42.320719,-71.098268,2018/08/11 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18),DRCHTR_EXP_008,Neutral Host,Licensed,Cro902,amanda.cornwall@crowncastle.com,17
-7910171.21228738,5207210.07732267,Verizon Wireless,Dorchester,1246-1266 Dorchester Ave,42.307877,-71.058277,2018/06/30 00:00:00+00,Pendant,Replacement,Pendant Light Pole (Verizon Exhibit X-3),432430,Single Carrier,Licensed,Ver12,vzwexhibitx1@gmail.com,18
-7916114.00330338,5208940.37662989,Crown Castle,Jamaica Plain,468 Centre Street,42.319371,-71.111662,2018/08/11 00:00:00+00,Standard Concrete - Cobra,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18),DRCHTR_EXP_004,Neutral Host,Licensed,Cro903,amanda.cornwall@crowncastle.com,19
-7911603.22621695,5210876.53678825,Verizon Wireless,Roxbury,850 Massachusetts Ave ,42.33223,-71.071141,2018/06/30 00:00:00+00,Aeriata Light Pole,Replacement,Aeriata Light Pole ( Verizon Exhibit X-2),432442,Single Carrier,Licensed,Ver13,VZWExhibitx1@gmail.com,20
-7914627.66546231,5209436.46208067,Crown Castle,Jamaica Plain,1584 Columbus Ave,42.322666,-71.09831,2018/08/12 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18),DORX_007,Neutral Host,Licensed,Cro904,amanda.cornwall@crowncastle.com,21
-7910387.3947385,5209601.17722861,Verizon Wireless,Dorchester,175 Boston st ,42.32376,-71.060219,2018/06/30 00:00:00+00,Aeriata Light Pole,Replacement,Aeriata Light Pole (Lightower Exhibit X-2),432434,Single Carrier,Licensed,Ver14,VZWexhibitx1@gmail.com,22
-7915809.21053759,5209901.10467096,Crown Castle,Jamaica Plain,5 Grotto Gren Road,42.325752,-71.108924,2018/08/15 00:00:00+00,Wood Utility Pole (Not City Owned but In Right of Way),Attachment,Wood Utility Pole Antenna Side Mount (Crown Castle X-5),DORX_002,Neutral Host,Licensed,Cro906,amanda.cornwall@crowncastle.com,23
-7909995.77276989,5209264.07132322,Verizon Wireless,Dorchester,856-868 Dorchester ave ,42.321521,-71.056701,2018/06/30 00:00:00+00,Aeriata Light Pole,Replacement,Aeriata Light Pole ( Verizon Exhibit X-2),432433,Single Carrier,Licensed,Ver15,vzwexhibitx1@gmail.com,24
-7914746.60811183,5211436.95126179,Mobilitie,Mission Hill,"8 St. Alphonsus Street, Boston, MA 02120",42.3359515,-71.09937848,2018/09/07 00:00:00+00,Standard Concrete - Aeriata,Replacement,Aeriata Light Pole (Mobilitie Exhibit X-2),BS90XS486B,Neutral Host,Licensed,Mob907,pbys@mobilitie.com,25
-7915692.62563488,5211353.039827,Mobilitie,Mission Hill,"7 Vining St, Boston, MA 02115",42.33539429,-71.1078767,2018/09/07 00:00:00+00,Pendant,Replacement,Pendant Light Pole (Mobilitie Exhibit X-3),BS90XSK04D,Neutral Host,Licensed,Mob908,pbys@mobilitie.com,26
-7908314.28629549,5212739.64436527,ExteNet Systems,South Boston,"73-85 Fargo St, Boston, MA 02210, USA",42.34460134,-71.04159595,2018/10/15 00:00:00+00,Standard Concrete - Cobra,Replacement,Standard Concrete Light Pole (Extenet Exhibit X-1),Site9050_9A_1,Neutral Host,Licensed,Ext909,exteneter@gmail.com,27
-7907312.41644432,5213158.0067133,ExteNet Systems,South Boston,7 FID Kennedy Ave,42.347379,-71.032596,2018/08/01 00:00:00+00,Wood Utility Pole (Not City Owned but In Right of Way),Attachment,Wood Utility Pole Antenna Top Mount (Extenet Exhibit X-4),Site9052_9A_1,Neutral Host,Licensed,Ext911,ucsdoit@gmail.com,28
-7907765.24632175,5212754.37437743,ExteNet Systems,South Boston,"24 Drydock Ave, Boston, MA 02210, USA",42.34469914,-71.03666384,2018/08/01 00:00:00+00,Aeriata Light Pole,Replacement,Aeriata Light Pole (Extenet Exhibit X-2),Site9053_9A_1,Neutral Host,Licensed,Ext912,ucsdoit@gmail.com,29
-7907595.43511771,5213073.31187052,ExteNet Systems,South Boston,"306 Northern Ave, Boston, MA 02210, USA",42.34681669,-71.0351384,2018/08/01 00:00:00+00,Aeriata Light Pole,Replacement,Aeriata Light Pole (Extenet Exhibit X-2),Site9054_9A_1,Neutral Host,Licensed,Ext913,ucsdoit@gmail.com,30
-7915587.68475091,5210039.62858319,Crown Castle,Jamaica Plain,222 Heath Street,42.326672,-71.106934,2018/08/19 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18),DRCHTR_EXP_003,Neutral Host,Licensed,Cro915,amanda.cornwall@crowncastle.com,31
-7915349.34972112,5209362.08524683,Crown Castle,Jamaica Plain,26 Mozart Street,42.322172,-71.104793,2018/08/19 00:00:00+00,Wood Utility Pole (Not City Owned but In Right of Way),Attachment,Wood Utility Pole Antenna Top Mount (Crown Castle Exhibit X-4),DORX_005,Neutral Host,Licensed,Cro917,amanda.cornwall@crowncastle.com,32
-7911264.59232596,5212121.65364664,Mobilitie,South End,"602 Harrison Ave, Boston, MA 02118",42.34049805,-71.068099,2018/09/14 00:00:00+00,Standard Concrete - Cobra,Replacement,Standard Concrete Light Pole (Mobilitie Exhibit X-1),BS90XSH87D,Neutral Host,Licensed,Mob918,pbys@mobilitie.com,33
-7915561.34655939,5209410.11394521,Crown Castle,Jamaica Plain,340 Centre Street,42.322491,-71.1066974,2018/08/20 00:00:00+00,Standard Concrete - Cobra,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18),DRCHTR_EXP_006,Neutral Host,Licensed,Cro919,amanda.cornwall@crowncastle.com,34
-7913803.49825388,5212234.23357495,Mobilitie,Fenway / Kenmore,"150-168 Hemenway St, Boston, MA 02115",42.34124557,-71.09090638,2018/09/14 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole (Mobilitie Exhibit X-1),BS90XSH83F,Neutral Host,Licensed,Mob921,pbys@mobilitie.com,35
-7907907.43248095,5217955.1907859,ExteNet Systems,East Boston,"46-52 Marion St, Boston, MA 02128",42.37922048,-71.03794112,2018/09/25 00:00:00+00,Standard Concrete - Aeriata,Replacement,Aeriata Light Pole (Extenet Exhibit X-2),CRAN_RCTB_00012-01,Neutral Host,Licensed,Ext922,exteneter@gmail.com,36
-7908050.27987793,5218432.00506118,ExteNet Systems,East Boston,"16-80 Falcon St, Boston, MA 02128",42.38238447,-71.03922434,2018/12/18 00:00:00+00,Standard Concrete - Cobra,Replacement,Standard Concrete Light Pole (Extenet Exhibit X-1),CRAN_RCTB_00012_02,Neutral Host,Licensed,Ext923,exteneter@gmail.com,37
-7908549.4453802,5203972.93133746,ExteNet Systems,Dorchester,"408 Neponset St, Boston MA 02122",42.28636771,-71.04370842,2018/11/01 00:00:00+00,Standard Concrete - Aeriata,Replacement,Aeriata Light Pole (Extenet Exhibit X-2),CRAN_RCTB_00015_01,Neutral Host,Licensed,Ext924,exteneter@gmail.com,38
-7908708.28493522,5203679.94905133,ExteNet Systems,Dorchester,"761 Gallivan Blvd., Boston, MA 02122",42.28442062,-71.0451353,2018/10/15 00:00:00+00,Standard Concrete - Cobra,Replacement,Standard Concrete Light Pole (Extenet Exhibit X-1),CRAN_RCTB_00016_04,Neutral Host,Licensed,Ext925,exteneter@gmail.com,39
-7903713.67994596,5218627.70088961,ExteNet Systems,East Boston,"116 Saint Andrew rd., Boston, MA 02128",42.383683,-71.000268,2018/08/28 00:00:00+00,Standard Concrete - Cobra,Replacement,Standard Concrete Light Pole (Extenet Exhibit X-1),CRAN_RCTB_00027_06,Neutral Host,Licensed,Ext926,exteneter@gmail.com,40
-7910031.39500695,5212430.08746576,Crown Castle,South Boston,130 Dorchester Ave,42.342546,-71.057021,2019/07/15 00:00:00+00,Acorn - Single,Replacement,Pendant Light Pole with Side Mount (Crown Castle X-16A),S_BOS_N048,Neutral Host,Licensed,Cro927,amanda.cornwall@crowncastle.com,41
-7910066.68328553,5212286.10675749,Crown Castle,South Boston,97 West 4th Street,42.34159,-71.057338,2019/06/15 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18A),S_BOS_N049,Neutral Host,Licensed,Cro928,amanda.cornwall@crowncastle.com,42
-7910012.13673504,5211730.98824192,Crown Castle,South Boston,314 Dorchester Ave,42.337904,-71.056848,2019/06/15 00:00:00+00,Standard Concrete - Cobra,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18A),S_BOS_N050,Neutral Host,Licensed,Cro929,Amanda.cornwall@crowncastle.com,43
-7910026.38562986,5211419.85899596,Crown Castle,South Boston,370 Dorchester Ave ,42.335838,-71.056976,2019/05/25 00:00:00+00,Standard Concrete - Cobra,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18A),S_BOS_N052,Neutral Host,Licensed,Cro930,amanda.cornwall@crowncastle.com,44
-7909782.81858401,5211377.54259388,Crown Castle,South Boston,114 D Street ,42.335557,-71.054788,2019/06/15 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18A),S_BOS_N053,Neutral Host,Licensed,Cro931,AMANDA.CORNWALL@CROWNCASTLE.COM,45
-7909756.99246214,5211166.56577354,Crown Castle,South Boston,180 Old Colony Ave ,42.334156,-71.054556,2019/06/15 00:00:00+00,Standard Concrete - Cobra,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18A),S_BOS_N054,Neutral Host,Licensed,Cro932,AMANDA.CORNWALL@CROWNCASTLE.COM,46
-7910020.26305787,5211039.31935677,Crown Castle,South Boston,456-466 Dorchester Ave,42.333311,-71.056921,2019/05/05 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18A),S-BOS_N055,Neutral Host,Licensed,Cro933,amanda.cornwall@crowncastle.com,47
-7910032.61952135,5210427.80746872,Crown Castle,South Boston,2 Boston Street,42.32925,-71.057032,2019/05/05 00:00:00+00,Acorn - Single,Replacement,Pendant Light Pole (Crown Castle Exhibit X-3A),S_BOS_N056,Neutral Host,Licensed,Cro934,amanda.cornwall@crowncastle.com,48
-7909557.17397617,5216140.90635331,Lightower,North End,426 Commerical Street,42.36718,-71.052761,2018/09/01 00:00:00+00,Acorn - Double,Replacement,Double Acorn Light Pole with Side Mount & Whip Antenna (Lightower Exhibit X-20),SC-MA0088,Single Carrier,Both,Lig935,michael.constantino@crowncastle.com,49
-7909697.63357007,5216214.07686224,Lightower,North End,481 COMMERCIAL ST,42.36766564,-71.05402277,2018/09/01 00:00:00+00,Pendant,Replacement,Pendant Light Pole (Lightower Exhibit X-3),SC-MA0087,Single Carrier,Both,Lig936,michael.constantino@crowncastle.com,50
-7914911.19620536,5209991.14498347,Crown Castle,Jamaica Plain,86 Heath St,42.32635,-71.100857,2018/09/18 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18),DORX_001,Neutral Host,Licensed,Cro937,amanda.cornwall@crowncastle.com,51
-7911135.36264229,5215640.48459459,Mobilitie,Downtown / Financial District,"79-93 Blossom St, Boston, MA 02114",42.36385855,-71.06693811,2018/10/19 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole (Mobilitie Exhibit X-1),BS90XS632B,Neutral Host,Licensed,Mob939,pbys@mobilitie.com,52
-7913420.51690415,5212325.5656878,Verizon Wireless,Fenway / Kenmore,69 St Stephen St,42.341852,-71.087466,2018/11/30 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole (Verizon Exhibit X-1),498586,Single Carrier,Licensed,Ver945,vzwexhibitx1@gmail.com,53
-7913694.80812946,5212675.58263415,Verizon Wireless,Fenway / Kenmore,90 Hemenway St,42.344176,-71.08993,2018/11/30 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole (Verizon Exhibit X-1),498595,Single Carrier,Licensed,Ver946,vzwexhibitx1@gmail.com,54
-7913362.74208843,5212862.19334205,Verizon Wireless,Fenway / Kenmore,197A Mass Ave,42.345415,-71.086947,2018/11/30 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole (Verizon Exhibit X-1),498600,Single Carrier,Licensed,Ver947,vzwexhibitx1@gmail.com,55
-7913455.69386324,5213118.84555296,Verizon Wireless,Fenway / Kenmore,133 Mass ave,42.347119,-71.087782,2018/11/30 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole (Verizon Exhibit X-1),498603,Single Carrier,Licensed,Ver948,vzwexhibitx1@gmail.com,56
-7909991.41572502,5214868.49680213,Mobilitie,North End,"10-24 Congress St, Boston, MA 02109",42.35873429,-71.05666186,2018/10/26 00:00:00+00,Acorn - Double,Replacement,Double Acorn Light Pole with Base & Whip Antenna (Mobilitie Exhibit X-8),BS90XSK82A,Neutral Host,Licensed,Mob954,pbys@mobilitie.com,57
-7910227.9596242,5216086.62246985,Mobilitie,North End,"226 Causeway St, Boston, MA 02114",42.36681971,-71.05878677,2018/11/12 00:00:00+00,Acorn - Double,Replacement,Double Acorn Light Pole with Base & Whip Antenna (Mobilitie Exhibit X-8),BS90XSK90A,Neutral Host,Licensed,Mob986,pbys@mobilitie.com,58
-7915567.53592308,5210046.10311994,Crown Castle,Jamaica Plain,219 Heath Street,42.326715,-71.106753,2018/11/29 00:00:00+00,Standard Concrete,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18),DORX_003,Neutral Host,Licensed,Cro988,amanda.cornwall@crowncastle.com,59
-7914616.31087425,5209402.43535952,Crown Castle,Jamaica Plain,Richie Street near the corner of Richie St. and Columbus Ave.,42.32244,-71.098208,2018/11/29 00:00:00+00,Standard Concrete,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18),DORX_007,Neutral Host,Licensed,Cro989,amanda.cornwall@crowncastle.com,60
-7922203.95868621,5214741.60887565,Verizon Wireless,Allston / Brighton,142 Nonantum Rd,42.357892,-71.166369,2019/07/31 00:00:00+00,Wood Utility Pole (Not City Owned but In Right of Way),Attachment,Wood Utility Pole Antenna Side Mount (Verizon Exhibit X-5),437023,Single Carrier,Licensed,Ver990,vzwexhibitx1@gmail.com,61
-7912592.8564901,5211419.55781093,Verizon Wireless,South End,34 Lenox St.,42.335836,-71.080031,2019/07/31 00:00:00+00,Wood Utility Pole (Not City Owned but In Right of Way),Attachment,Wood Utility Pole Antenna Top Mount (Verizon Exhibit X-4),432451,Single Carrier,Licensed,Ver991,vzwexhibitx1@gmail.com,62
-7910057.22112881,5213734.29697935,Verizon Wireless,Downtown / Financial District,96 south st ,42.351205,-71.057253,2019/04/15 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole (Verizon Exhibit X-1A),510944,Single Carrier,Licensed,Ver992,vzwexhibitx1@gmail.com,63
-7910792.4863655,5215226.0967353,Verizon Wireless,Downtown / Financial District,138 Cambridge st ,42.361108,-71.063858,2019/08/29 00:00:00+00,Pendant,Replacement,Pendant Light Pole (Verizon Exhibit X-3A),515392,Single Carrier,Licensed,Ver994,vzwexhibitx1@gmail.com,64
-7911546.45327664,5213538.17962682,Verizon Wireless,Downtown / Financial District,320 -300 stuart st ,42.349903,-71.070631,2019/05/06 00:00:00+00,Contemporary Square Aluminium Pole,Replacement,Contemporary Square Aluminum Light Pole ( Verizon Exhibit X-2A),510921,Single Carrier,Licensed,Ver995,vzwexhibitx1@gmail.com,65
-7911350.19701437,5213270.67126249,Verizon Wireless,Downtown / Financial District,87-99 Fayette st ,42.348127,-71.068868,2019/05/06 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole (Verizon Exhibit X-1),510927,Single Carrier,Licensed,Ver997,vzwexhibitx1@gmail.com,66
-7910838.12735673,5213168.09826933,Verizon Wireless,Chinatown,Intersection of Washington St and Marginal Road,42.347446,-71.064268,2020/06/15 00:00:00+00,Pendant,Replacement,Pendant Light Pole (Verizon Exhibit X-3A),510930,Single Carrier,Licensed,Ver999,vzwexhibitx1@gmail.com,67
-7910545.24577645,5213631.71896336,Verizon Wireless,Downtown / Financial District,Intersection of Kneeland St and Harrison Ave,42.350524,-71.061637,2021/07/06 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole (Verizon Exhibit X-1A),510932,Single Carrier,Licensed,Ver1001,vzwexhibitx1@gmail.com,68
-7911095.83197791,5213592.40521658,Verizon Wireless,Downtown / Financial District,"80 Warrenton St, pole on Charles Street South",42.350263,-71.066583,2021/07/12 00:00:00+00,Standard Concrete - Double Cobra,Replacement,Standard Concrete Light Pole (Verizon Exhibit X-1A),510936,Single Carrier,Licensed,Ver1002,vzwexhibitx1@gmail.com,69
-7910856.04979474,5213929.06270249,Verizon Wireless,Downtown / Financial District,"51-53 Boylston St, Pole on Tremont",42.352498,-71.064429,2020/06/15 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole (Verizon Exhibit X-1A),510938,Single Carrier,Licensed,Ver1005,vzwexhibitx1@gmail.com,70
-7910329.61992278,5213943.97532438,Verizon Wireless,Downtown / Financial District,85 Bedford st ,42.352597,-71.0597,2019/09/26 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole (Verizon Exhibit X-1A),510939,Single Carrier,Licensed,Ver1006,vzwexhibitx1@gmail.com,71
-7910349.88007011,5213553.09163304,Verizon Wireless,Downtown / Financial District,20 Hudson st ,42.350002,-71.059882,2019/05/06 00:00:00+00,Pendant,Replacement,Pendant Light Pole (Verizon Exhibit X-3A),510940,Single Carrier,Licensed,Ver1007,vzwexhibitx1@gmail.com,72
-7910237.78134288,5213602.34660839,Verizon Wireless,Chinatown,179 Lincoln st ,42.350329,-71.058875,2019/05/06 00:00:00+00,Standard Concrete - Cobra,Replacement,Standard Concrete Light Pole (Verizon Exhibit X-1A),510943,Single Carrier,Licensed,Ver1008,vzwexhibitx1@gmail.com,73
-7909465.33539626,5214344.81732633,Verizon Wireless,Downtown / Financial District,1 International Place ,42.355258,-71.051936,2019/08/29 00:00:00+00,Pendant,Replacement,Pendant Light Pole (Verizon Exhibit X-3A),510956,Single Carrier,Licensed,Ver1011,vzwexhibitx1@gmail.com,74
-7910012.47069351,5214566.40994899,Verizon Wireless,Downtown / Financial District,52 Milk Street ,42.356729,-71.056851,2019/05/06 00:00:00+00,Standard Concrete - Cobra,Replacement,Standard Concrete Light Pole (Verizon Exhibit X-1A),510959,Single Carrier,Licensed,Ver1012,vzwexhibitx1@gmail.com,75
-7910314.59179153,5215530.72213512,Verizon Wireless,Downtown / Financial District,84-82 New Chardon st ,42.36313,-71.059565,2019/08/29 00:00:00+00,Pendant - Double,Replacement,Pendant Light Pole (Verizon Exhibit X-3A),515391,Single Carrier,Licensed,Ver1015,vzwexhibitx1@gmail.com,76
-7911325.48408742,5215230.01371581,Verizon Wireless,Downtown / Financial District,10 N Grove st ,42.361134,-71.068646,2019/05/06 00:00:00+00,Pendant,Replacement,Pendant Light Pole (Verizon Exhibit X-3A),515393,Single Carrier,Licensed,Ver1016,vzwexhibitx1@gmail.com,77
-7910743.06051159,5215748.27466267,Verizon Wireless,Downtown / Financial District,Federal building Lomansey way ,42.364574,-71.063414,2019/09/25 00:00:00+00,Pendant,Replacement,Pendant Light Pole (Verizon Exhibit X-3A),515395,Single Carrier,Licensed,Ver1017,vzwexhibitx1@gmail.com,78
-7911415.31891649,5214455.3870281,Verizon Wireless,Downtown / Financial District,22 Charles st ,42.355992,-71.069453,2019/05/06 00:00:00+00,Pendant,Replacement,Pendant Light Pole (Verizon Exhibit X-3A),515405,Single Carrier,Licensed,Ver1021,vzwexhibitx1@gmail.com,79
-7911643.96915058,5214116.75256543,Verizon Wireless,Downtown / Financial District,13 Arlington St ,42.353744,-71.071507,2019/05/06 00:00:00+00,Pendant,Replacement,Pendant Light Pole (Verizon Exhibit X-3A),515406,Single Carrier,Licensed,Ver1022,vzwexhibitx1@gmail.com,80
-7911715.54758316,5214375.84901963,Verizon Wireless,Downtown / Financial District,94 Beacon st ,42.355464,-71.07215,2019/05/06 00:00:00+00,Pendant,Replacement,Pendant Light Pole (Verizon Exhibit X-3A),515407,Single Carrier,Licensed,Ver1023,vzwexhibitx1@gmail.com,81
-7912068.20772999,5212363.97052978,Verizon Wireless,South End,647 Tremont st ,42.342107,-71.075318,2021/12/01 00:00:00+00,Contemporary Square Aluminium Pole,Replacement,Contemporary Square Aluminum Light Pole ( Verizon Exhibit X-2A),515462,Single Carrier,Licensed,Ver1024,vzwexhibitx1@gmail.com,82
-7912273.14691254,5212183.9962431,Verizon Wireless,South End,Intersection of Tremont St and Rutland St,42.340912,-71.077159,2020/06/29 00:00:00+00,Contemporary Square Aluminium Pole,Replacement,Standard Concrete Light Pole (Verizon Exhibit X-1A),515463,Single Carrier,Licensed,Ver1025,vzwexhibitx1@gmail.com,83
-7912602.42996631,5211941.37523354,Verizon Wireless,South End,781 Tremont st ,42.339301,-71.080117,2020/07/06 00:00:00+00,Pendant,Replacement,Pendant Light Pole (Verizon Exhibit X-3A),515464,Single Carrier,Licensed,Ver1026,vzwexhibitx1@gmail.com,84
-7912638.94275929,5212310.20379462,Verizon Wireless,South End,535 Columbus Ave ,42.34175,-71.080445,2021/12/07 00:00:00+00,Contemporary Square Aluminium Pole,Replacement,Contemporary Square Aluminum Light Pole ( Verizon Exhibit X-2A),515465,Single Carrier,Licensed,Ver1027,vzwexhibitx1@gmail.com,85
-7912445.02420633,5212522.41097563,Verizon Wireless,South End,485 Columbus Avenue,42.343159,-71.078703,2021/12/20 00:00:00+00,Contemporary Square Aluminium Pole,Replacement,Contemporary Square Aluminum Light Pole ( Verizon Exhibit X-2A),515466,Single Carrier,Licensed,Ver1028,vzwexhibitx1@gmail.com,86
